"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 05 18:11:58 IST 2022","Mon Sep 05 18:12:20 IST 2022","21802","All Test Suite","D:/TESTING/Sample/SampleProject","Test.Search","Test.Search","LoginIsWorking","LoginIsWorking",""
"passed","Mon Sep 05 18:12:24 IST 2022","Mon Sep 05 18:12:41 IST 2022","17720","All Test Suite","D:/TESTING/Sample/SampleProject","Test.Search","Test.Search","LoggedInOrNot","LoggedInOrNot",""
