"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 01 09:56:02 IST 2022","Thu Sep 01 09:56:30 IST 2022","27411","All Test Suite","D:/TESTING/Sample/SampleProject","Test.Search","Test.Search","LoggedInOrNot","LoggedInOrNot",""
"passed","Thu Sep 01 09:55:20 IST 2022","Thu Sep 01 09:55:58 IST 2022","37548","All Test Suite","D:/TESTING/Sample/SampleProject","Test.Search","Test.Search","LoginIsWorking","LoginIsWorking",""
