"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 05 15:37:57 IST 2022","Mon Sep 05 15:38:22 IST 2022","24782","All Test Suite","D:/TESTING/Sample/SampleProject","Test.Search","Test.Search","LoggedInOrNot","LoggedInOrNot",""
"passed","Mon Sep 05 15:37:25 IST 2022","Mon Sep 05 15:37:53 IST 2022","28110","All Test Suite","D:/TESTING/Sample/SampleProject","Test.Search","Test.Search","LoginIsWorking","LoginIsWorking",""
