"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 01 17:31:37 IST 2022","Thu Sep 01 17:33:17 IST 2022","99848","All Test Suite","D:/TESTING/Sample/SampleProject","Test.Search","Test.Search","LoginIsWorking","LoginIsWorking",""
"failed","Thu Sep 01 17:33:22 IST 2022","Thu Sep 01 17:35:03 IST 2022","101111","All Test Suite","D:/TESTING/Sample/SampleProject","Test.Search","Test.Search","LoggedInOrNot","LoggedInOrNot",""
