"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 06 10:14:22 IST 2022","Tue Sep 06 10:14:41 IST 2022","18448","All Test Suite","D:/TESTING/Sample/SampleProject","Test.Search","Test.Search","LoggedInOrNot","LoggedInOrNot",""
"passed","Tue Sep 06 10:14:03 IST 2022","Tue Sep 06 10:14:18 IST 2022","15420","All Test Suite","D:/TESTING/Sample/SampleProject","Test.Search","Test.Search","LoginIsWorking","LoginIsWorking",""
