"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 05 17:49:34 IST 2022","Mon Sep 05 17:49:53 IST 2022","18894","All Test Suite","D:/TESTING/Sample/SampleProject","Test.Search","Test.Search","LoggedInOrNot","LoggedInOrNot",""
"passed","Mon Sep 05 17:49:00 IST 2022","Mon Sep 05 17:49:30 IST 2022","29985","All Test Suite","D:/TESTING/Sample/SampleProject","Test.Search","Test.Search","LoginIsWorking","LoginIsWorking",""
